Wavelength,WS_site1_00010_Flag_A,Flag_1_Test_00011_Flag_B,Flag_15_Test_00041_Flag_C
1,130.0066,106.4743,100.3775
1.001,129.4657,106.2914,99.8337
1.002,129.5712,107.0134,99.7273
1.003,129.6519,107.616,99.6676
1.004,129.3432,107.7066,99.9285
1.005,129.3807,108.3324,99.867
1.006,129.4077,108.4765,100.0371
1.007,129.4334,108.614,100.2066
1.008,129.4532,108.7526,100.3796
1.009,129.4627,108.9,100.5601
1.01,129.4566,109.0562,100.75
1.011,129.4414,109.2176,100.9458
1.012,129.4272,109.382,101.1432
1.013,129.4236,109.5473,101.3384
1.014,129.4263,109.7159,101.5338
1.015,129.434,109.8866,101.7291
1.016,129.4488,110.0567,101.9224
1.017,129.4735,110.2235,102.1115
1.018,129.5119,110.3873,102.2979
1.019,129.5586,110.5494,102.4813
1.02,129.6055,110.7108,102.6604
1.021,129.646,110.872,102.8335
1.022,129.6853,111.0302,102.9974
1.023,129.7223,111.1884,103.1572
1.024,129.753,111.3507,103.3197
1.025,129.7731,111.5215,103.4911
1.026,129.7795,111.7028,103.6698
1.027,129.7792,111.8888,103.853
1.028,129.7809,112.0729,104.0386
1.029,129.7908,112.2495,104.2248
1.03,129.8017,112.4205,104.4123
1.031,129.8173,112.5888,104.6019
1.032,129.8435,112.7566,104.7937
1.033,129.8867,112.9258,104.9884
1.034,129.9488,113.0965,105.1863
1.035,130.0209,113.2665,105.3864
1.036,130.0933,113.434,105.5875
1.037,130.1601,113.5976,105.7891
1.038,130.2294,113.7589,105.9927
1.039,130.2958,113.9172,106.1965
1.04,130.3521,114.0713,106.3989
1.041,130.3924,114.2211,106.5992
1.042,130.4191,114.3673,106.7993
1.043,130.4381,114.5093,106.9971
1.044,130.4554,114.6461,107.1899
1.045,130.4724,114.7765,107.3766
1.046,130.4831,114.9004,107.5591
1.047,130.4952,115.0199,107.7359
1.048,130.5174,115.1374,107.9052
1.049,130.5568,115.2531,108.0645
1.05,130.6096,115.3653,108.214
1.051,130.6674,115.4766,108.3588
1.052,130.7217,115.5899,108.5041
1.053,130.7705,115.7065,108.6514
1.054,130.8184,115.8248,108.798
1.055,130.8633,115.944,108.9444
1.056,130.903,116.0629,109.0913
1.057,130.9357,116.1805,109.2395
1.058,130.9626,116.2974,109.3887
1.059,130.9863,116.4153,109.5374
1.06,131.0096,116.5361,109.6841
1.061,131.031,116.6621,109.8298
1.062,131.05,116.7916,109.9747
1.063,131.0705,116.9205,110.1164
1.064,131.0963,117.0445,110.2528
1.065,131.1281,117.1627,110.3821
1.066,131.1637,117.2773,110.5064
1.067,131.2023,117.39,110.6284
1.068,131.2425,117.5023,110.7512
1.069,131.287,117.6113,110.8717
1.07,131.3346,117.7181,110.9905
1.071,131.3809,117.8283,111.1132
1.072,131.4216,117.9474,111.245
1.073,131.4536,118.0769,111.3854
1.074,131.4816,118.213,111.5324
1.075,131.5117,118.3514,111.6856
1.076,131.5497,118.4883,111.845
1.077,131.593,118.6248,112.0139
1.078,131.6407,118.7619,112.1889
1.079,131.6942,118.8997,112.3646
1.08,131.7547,119.0375,112.5353
1.081,131.8244,119.1702,112.6967
1.082,131.9004,119.3036,112.8567
1.083,131.9786,119.4465,113.0259
1.084,132.0548,119.6059,113.212
1.085,132.1274,119.7726,113.403
1.086,132.2016,119.9527,113.6077
1.087,132.2833,120.1567,113.8414
1.088,132.3778,120.3942,114.1172
1.089,132.4831,120.6623,114.4301
1.09,132.5967,120.9556,114.774
1.091,132.7168,121.2694,115.1441
1.092,132.8422,121.6032,115.5408
1.093,132.9745,121.9649,115.9743
1.094,133.1126,122.3425,116.4276
1.095,133.2549,122.7214,116.8804
1.096,133.4014,123.0933,117.3217
1.097,133.554,123.4669,117.7642
1.098,133.7093,123.8411,118.2046
1.099,133.8636,124.2139,118.6381
1.1,134.0156,124.5839,119.0613
1.101,134.1684,124.9515,119.4759
1.102,134.3188,125.3185,119.8848
1.103,134.463,125.6863,120.2907
1.104,134.5992,126.0571,120.6968
1.105,134.7294,126.4305,121.1024
1.106,134.8539,126.8026,121.5018
1.107,134.9729,127.1692,121.8892
1.108,135.0844,127.5329,122.2679
1.109,135.1884,127.8956,122.6407
1.11,135.29,128.2479,122.9952
1.111,135.3945,128.5802,123.3184
1.112,135.5045,128.8894,123.607
1.113,135.617,129.1807,123.8676
1.114,135.7283,129.4564,124.1025
1.115,135.8351,129.719,124.3139
1.116,135.9384,129.9652,124.4954
1.117,136.0389,130.1962,124.6502
1.118,136.1347,130.4176,124.7904
1.119,136.2237,130.6353,124.9278
1.12,136.3061,130.8524,125.0678
1.121,136.3827,131.0635,125.2004
1.122,136.4537,131.2615,125.3132
1.123,136.5199,131.4412,125.3964
1.124,136.5852,131.6204,125.4715
1.125,136.6451,131.7836,125.5219
1.126,136.6923,131.9034,125.5156
1.127,136.7205,131.9562,125.4252
1.128,136.7345,131.9587,125.267
1.129,136.7333,131.9083,125.0418
1.13,136.7133,131.7941,124.742
1.131,136.6716,131.6042,124.358
1.132,136.6086,131.3342,123.8818
1.133,136.5268,131.0022,123.3343
1.134,136.4284,130.6286,122.7398
1.135,136.3145,130.2266,122.1135
1.136,136.182,129.7819,121.4378
1.137,136.0345,129.3002,120.7211
1.138,135.8765,128.7899,119.9757
1.139,135.7097,128.2559,119.2086
1.14,135.5306,127.6927,118.4123
1.141,135.3425,127.1017,117.588
1.142,135.1489,126.4847,116.7375
1.143,134.9508,125.8383,115.855
1.144,134.7454,125.1597,114.9368
1.145,134.536,124.4613,114.0021
1.146,134.3258,123.7558,113.0711
1.147,134.1168,123.044,112.1459
1.148,133.9072,122.3189,111.2157
1.149,133.6951,121.59,110.2924
1.15,133.4785,120.8671,109.3884
1.151,133.2536,120.1509,108.506
1.152,133.0228,119.4371,107.6392
1.153,132.793,118.7278,106.7879
1.154,132.571,118.0255,105.9519
1.155,132.3577,117.3319,105.1331
1.156,132.1497,116.6451,104.3304
1.157,131.946,115.9613,103.5401
1.158,131.7455,115.2767,102.7589
1.159,131.55,114.5901,101.9869
1.16,131.3584,113.9043,101.2256
1.161,131.168,113.2227,100.4753
1.162,130.9758,112.5482,99.736
1.163,130.7829,111.8781,99.0052
1.164,130.59,111.2136,98.2856
1.165,130.3966,110.5575,97.5813
1.166,130.2023,109.912,96.8955
1.167,130.0069,109.2723,96.2237
1.168,129.811,108.6428,95.569
1.169,129.6157,108.0298,94.9371
1.17,129.4202,107.4378,94.3322
1.171,129.2187,106.8599,93.7505
1.172,129.0202,106.3016,93.1931
1.173,128.8359,105.7702,92.6625
1.174,128.6742,105.2722,92.1607
1.175,128.5292,104.805,91.687
1.176,128.3994,104.3644,91.2399
1.177,128.2847,103.9466,90.8173
1.178,128.1871,103.5491,90.4184
1.179,128.1093,103.174,90.0444
1.18,128.0431,102.823,89.6959
1.181,127.9794,102.4974,89.3736
1.182,127.9141,102.1982,89.0796
1.183,127.852,101.9241,88.813
1.184,127.7948,101.6736,88.5686
1.185,127.7441,101.4452,88.3414
1.186,127.6981,101.238,88.1291
1.187,127.6569,101.053,87.9348
1.188,127.6248,100.8914,87.7607
1.189,127.6063,100.7548,87.6092
1.19,127.604,100.6478,87.4836
1.191,127.6145,100.5668,87.3809
1.192,127.6329,100.5034,87.2948
1.193,127.655,100.4497,87.2193
1.194,127.6856,100.4111,87.1601
1.195,127.7225,100.3868,87.1152
1.196,127.7585,100.3692,87.0763
1.197,127.7863,100.3514,87.0357
1.198,127.8065,100.3353,86.9952
1.199,127.8227,100.3232,86.9576
1.2,127.8379,100.3154,86.9237
1.201,127.8539,100.3123,86.8942
1.202,127.8676,100.3134,86.8683
1.203,127.8817,100.3189,86.8464
1.204,127.9,100.3297,86.829
1.205,127.9257,100.3454,86.8162
1.206,127.9574,100.3646,86.8072
1.207,127.9931,100.3899,86.8031
1.208,128.0315,100.4243,86.8055
1.209,128.0723,100.4713,86.8149
1.21,128.1174,100.5307,86.8306
1.211,128.1636,100.5969,86.8531
1.212,128.2071,100.6635,86.8833
1.213,128.2445,100.7263,86.9209
1.214,128.2778,100.7884,86.9654
1.215,128.3122,100.8554,87.0179
1.216,128.353,100.9326,87.0796
1.217,128.3989,101.0183,87.1493
1.218,128.448,101.1109,87.227
1.219,128.5054,101.2161,87.3155
1.22,128.5761,101.34,87.4177
1.221,128.6649,101.488,87.5381
1.222,128.7668,101.6542,87.6726
1.223,128.8727,101.8288,87.8136
1.224,128.9745,102.0024,87.9536
1.225,129.0765,102.1779,88.0935
1.226,129.1786,102.3573,88.2363
1.227,129.2774,102.5395,88.3841
1.228,129.3694,102.724,88.5387
1.229,129.4544,102.9119,88.7007
1.23,129.5352,103.1023,88.868
1.231,129.6148,103.2934,89.0388
1.232,129.6948,103.4838,89.2113
1.233,129.7725,103.6736,89.3862
1.234,129.8503,103.8644,89.5644
1.235,129.9314,104.0577,89.7466
1.236,130.0171,104.2534,89.9323
1.237,130.1051,104.4494,90.1202
1.238,130.1973,104.6494,90.3134
1.239,130.2957,104.8576,90.515
1.24,130.4031,105.0768,90.7274
1.241,130.5191,105.3052,90.9493
1.242,130.6384,105.54,91.1781
1.243,130.7557,105.7784,91.4112
1.244,130.8721,106.0228,91.652
1.245,130.9891,106.2731,91.9
1.246,131.1023,106.5233,92.1469
1.247,131.2069,106.7672,92.3848
1.248,131.3007,107.006,92.6157
1.249,131.3878,107.2415,92.8415
1.25,131.4734,107.4728,93.0601
1.251,131.562,107.6993,93.2697
1.252,131.6529,107.9233,93.4721
1.253,131.7442,108.1425,93.6661
1.254,131.8352,108.3533,93.8497
1.255,131.926,108.5525,94.0201
1.256,132.0199,108.7409,94.1768
1.257,132.1121,108.9207,94.3236
1.258,132.1966,109.0939,94.4647
1.259,132.2688,109.263,94.6042
1.26,132.3313,109.4281,94.7414
1.261,132.3857,109.5853,94.8717
1.262,132.4333,109.73,94.9903
1.263,132.473,109.8586,95.0953
1.264,132.5036,109.9733,95.1897
1.265,132.5301,110.0781,95.2723
1.266,132.5578,110.1773,95.3419
1.267,132.5897,110.2708,95.3959
1.268,132.623,110.3564,95.435
1.269,132.6545,110.4376,95.464
1.27,132.6809,110.5182,95.4877
1.271,132.7021,110.6008,95.5058
1.272,132.7194,110.6823,95.517
1.273,132.7334,110.7583,95.5217
1.274,132.7447,110.8249,95.5208
1.275,132.7534,110.8845,95.5171
1.276,132.759,110.9365,95.5075
1.277,132.7608,110.9774,95.4864
1.278,132.7578,111.0033,95.4481
1.279,132.7473,111.0129,95.3926
1.28,132.7336,111.0108,95.3242
1.281,132.7223,111.0023,95.247
1.282,132.7188,110.9898,95.1636
1.283,132.7227,110.9678,95.0705
1.284,132.7277,110.9425,94.9705
1.285,132.7278,110.9215,94.867
1.286,132.7188,110.9105,94.7616
1.287,132.7039,110.9062,94.6517
1.288,132.6843,110.9045,94.539
1.289,132.6608,110.9016,94.4255
1.29,132.6318,110.8957,94.3117
1.291,132.5969,110.889,94.1966
1.292,132.5612,110.8821,94.0806
1.293,132.5298,110.8756,93.9639
1.294,132.501,110.87,93.8479
1.295,132.474,110.8647,93.7314
1.296,132.4523,110.8591,93.6122
1.297,132.4395,110.8525,93.4878
1.298,132.439,110.8428,93.3568
1.299,132.4451,110.8327,93.2221
1.3,132.4503,110.8256,93.0875
1.301,132.4478,110.8249,92.9561
1.302,132.4407,110.8295,92.8272
1.303,132.4302,110.8384,92.6993
1.304,132.4161,110.8508,92.5717
1.305,132.3971,110.8691,92.4463
1.306,132.3717,110.899,92.3278
1.307,132.3441,110.9274,92.2055
1.308,132.3193,110.9397,92.0671
1.309,132.3013,110.9282,91.9068
1.31,132.2878,110.9009,91.7314
1.311,132.2743,110.8588,91.5403
1.312,132.2558,110.8025,91.3325
1.313,132.2311,110.7276,91.1029
1.314,132.2026,110.6358,90.8539
1.315,132.171,110.5365,90.5967
1.316,132.1372,110.4385,90.3415
1.317,132.1005,110.3379,90.0836
1.318,132.0613,110.2342,89.8227
1.319,132.0202,110.1327,89.5647
